nl,act1,act2,act3,slot1,slot2,slot3
hello and welcome to the cambridge,hello,,,,,
$pricerange$ priced $food$ food,inform,inform,,food,pricerange,
how about $food$,inform,,,food,,
is there anything else,reqalts,,,,,
could i have the $addr$ and $phone$,request,request,,addr,phone,
$phone$,request,,,phone,,
thank you good bye,bye,,,,,
hello and welcome,hello,,,,,
$area$,inform,,,area,,
$food$,inform,,,food,,
$pricerange$,inform,,,pricerange,,
could i get the $phone$ and,request,,,phone,,
$pricerange$,request,,,pricerange,,
could i get the $phone$ and $pricerange$,request,request,,phone,pricerange,
$area$ part,inform,,,area,,
i dont care about the $pricerange$,dontcare,,,pricerange,,
uh $food$ food,inform,,,food,,
how about $food$ food,inform,,,food,,
$food$ food,inform,,,food,,
could i have the $addr$,request,,,addr,,
$area$ part of town,inform,,,area,,
do you have another option anything else,reqalts,,,,,
could have the $phone$,request,,,phone,,
$area$,inform,,,area,,
any type,dontcare,,,,,
could i have their $phone$ and the type of $food$,request,request,,phone,food,
type of $food$,request,,,food,,
the $area$ of town,inform,,,area,,
it doesnt matter,dontcare,,,,,
could you give the $addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
whats the $addr$ $phone$ and $pricerange$,request,request,request,addr,phone,pricerange
whats the $pricerange$,request,,,pricerange,,
okay thank you,bye,,,,,
no,negate,,,,,
no thank you,negate,,,,,
um im looking for a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
whats the $addr$ and $phone$,request,request,,addr,phone,
okay thank you good bye,bye,,,,,
$pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
$addr$ and $phone$,request,request,,addr,phone,
yes,affirm,,,,,
doesnt matter,dontcare,,,,,
does not matter,dontcare,,,,,
i dont care,dontcare,,,,,
how about $pricerange$ priced,inform,,,pricerange,,
what type of $food$,request,,,food,,
do you got an $addr$,request,,,addr,,
$addr$,request,,,addr,,
thank you goodbye,bye,,,,,
i need a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
any,dontcare,,,,,
i need a restaurant in the $area$ part of town,inform,,,area,,
uh it doesnt matter,dontcare,,,,,
i need a restaurant serving $food$ food,inform,,,food,,
i need $food$ food,inform,,,food,,
can i get a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
the $addr$,request,,,addr,,
i need a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
um $food$,inform,,,food,,
american,inform,,,food,,
im looking for a $pricerange$ restaurant,inform,,,pricerange,,
do you have the $addr$,request,,,addr,,
its a type of $food$,request,,,food,,
right,affirm,,,,,
anything else,reqalts,,,,,
whats their $phone$,request,,,phone,,
is there any other restaurants,reqalts,,,,,
what is their $phone$,request,,,phone,,
what is their $addr$,request,,,addr,,
cute thank you good bye,bye,,,,,
for a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
s the $addr$,request,,,addr,,
the $phone$,request,,,phone,,
k you goodbye,bye,,,,,
looking for a restaurant in the $area$ part of town,inform,,,area,,
whats its $addr$,request,,,addr,,
looking for a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
whats the $addr$,request,,,addr,,
looking for a $pricerange$ priced restaurant,inform,,,pricerange,,
whats its $postcode$,request,,,postcode,,
i want to find an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
$postcode$,request,,,postcode,,
you good bye,bye,,,,,
looking for an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
is there a restaurant serving $food$ food,inform,,,food,,
wrong,negate,,,,,
im looking for $food$ food,inform,,,food,,
what is the $phone$,request,,,phone,,
uh what its $phone$,request,,,phone,,
i am searching for a $pricerange$ priced restaurant in the $area$ part of,inform,inform,,pricerange,area,
is there another restaurant,reqalts,,,,,
is there another restaurant in the $pricerange$ price range in the $area$ part of town,inform,inform,,pricerange,area,
dont care is there anything else,reqalts,,,,,
dont care,dontcare,,,,,
is there another,reqalts,,,,,
thank you good,bye,,,,,
i am looking for an $pricerange$ restaurant in the $area$,inform,inform,,pricerange,area,
$food$ type of food,inform,,,food,,
what type of $food$ is it,request,,,food,,
looking for a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
im looking for a restaurant in the $area$ part of town,inform,,,area,,
i want $food$ food,inform,,,food,,
what is the $addr$ and $phone$,request,request,,addr,phone,
what is the $postcode$,request,,,postcode,,
im looking for a restaurant in the $area$ part of town serving,inform,,,area,,
what about $food$,inform,,,food,,
what is the $phone$ and $postcode$,request,request,,phone,postcode,
im looking for a $pricerange$ priced restaurant,inform,,,pricerange,,
what is the $addr$,request,,,addr,,
im looking for a $pricerange$ priced restaurant in the $area$,inform,inform,,pricerange,area,
whats the $phone$ and $addr$,request,request,,phone,addr,
im looking for an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
what kind of $food$ is it,request,,,food,,
im looking for a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
whats the phone whats the $phone$,request,,,phone,,
im looking for a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
is there something else,reqalts,,,,,
im looking for a restaurant in $area$ area,inform,,,area,,
$area$ area,inform,,,area,,
what about $food$ food,inform,,,food,,
what is the $pricerange$,request,,,pricerange,,
okay how about $food$ food,inform,,,food,,
i would like a $pricerange$ priced restaurant,inform,,,pricerange,,
what is the $area$,request,,,area,,
im looking for a restaurant in the $area$ part of town,inform,,,area,,
no $food$ food,negate,,,food,,
is it $food$,confirm,,,food,,
uh i dont care,dontcare,,,,,
whats the $phone$,request,,,phone,,
$area$ is the $addr$ and $phone$,request,request,request,addr,phone,area
im looking for a $pricerange$ restaurant serving $food$ food,inform,inform,,food,pricerange,
oh i need to be in the $area$,inform,,,area,,
thats the $area$,inform,,,area,,
okay give me another option,reqalts,,,,,
i believe you anything else,reqalts,,,,,
okay whats the $addr$,request,,,addr,,
okay what type of $food$ is that,request,,,food,,
ya im looking for a restaurant serving $food$ food,inform,,,food,,
okay is it in the $area$ side of town,confirm,,,area,,
awesome um whats the $phone$,request,,,phone,,
okay thank you goodbye,bye,,,,,
oh my god thank you goodbye,bye,,,,,
yea im looking for a really $pricerange$ restaurant,inform,,,pricerange,,
good thank you good bye,bye,,,,,
yea,affirm,,,,,
okay i want $food$,inform,,,food,,
okay does it serve $food$ food,confirm,,,food,,
okay whats the $phone$,request,,,phone,,
um thank you good bye,bye,,,,,
the $area$,inform,,,area,,
something $pricerange$,inform,,,pricerange,,
uh i dont mind,dontcare,,,,,
okay is there another option,reqalts,,,,,
okay what is the $addr$,request,,,addr,,
yeah im looking for a $pricerange$ priced restaurant,inform,,,pricerange,,
okay um $food$ then,inform,,,food,,
yea im looking for a restaurant that serves $food$ food,inform,,,food,,
correct,affirm,,,,,
im looking for uh restaurant serving $food$ food,inform,,,food,,
okay and what about $food$,inform,,,food,,
okay is it $pricerange$ priced,confirm,,,pricerange,,
whats the $postcode$,request,,,postcode,,
okay thats all thank you good bye,bye,,,,,
hi im looking for an $pricerange$ restaurant in $area$ part of town,inform,inform,,pricerange,area,
$pricerange$ restaurant,inform,,,pricerange,,
what is their $pricerange$,request,,,pricerange,,
$pricerange$ price,inform,,,pricerange,,
find a restaurant serving $food$ food,inform,,,food,,
price does not matter,inform,,,pricerange,,
good bye,bye,,,,,
find a restaurant in the $area$ of town,inform,,,area,,
dont care dont care dont care,dontcare,,,,,
thank you,bye,,,,,
$pricerange$ priced,inform,,,pricerange,,
i am looking for a restaurant serving $food$ food,inform,,,food,,
what type of $food$ do they serve,request,,,food,,
canopy,inform,,,food,,
where are they located,request,,,area,,
anything,dontcare,,,,,
$food$ now,inform,,,food,,
i want to find a restaurant in the $area$ part of town,inform,,,area,,
barbecue food,inform,,,food,,
how bout $food$,inform,,,food,,
how bout $food$ type of food,inform,,,food,,
thats fine how bout asian food,inform,,,food,,
fine i want restaurant in the $area$ part of town,inform,,,area,,
how about $food$ type of food,inform,,,food,,
how about asian food,inform,,,food,,
sure how about asian food,inform,,,food,,
ye,affirm,,,,,
not any more,negate,,,,,
how about asian,inform,,,food,,
um in the $area$ part of town and its $pricerange$,inform,inform,,pricerange,area,
yes yes,affirm,,,,,
may i have the $addr$,request,,,addr,,
i want to find $food$ food then,inform,,,food,,
may i have it its $addr$,request,,,addr,,
may i have its $addr$,request,,,addr,,
whats its $phone$,request,,,phone,,
okay what type of $food$ do they serve,request,,,food,,
may i have their $phone$,request,,,phone,,
i want to find a $pricerange$ restaurant,inform,,,pricerange,,
in the $area$ part,inform,,,area,,
in the $area$ part of town,inform,,,area,,
okay might i have the $addr$,request,,,addr,,
how about the $postcode$,request,,,postcode,,
um is there anything else,reqalts,,,,,
ok how about a restaurant and $phone$,request,,,phone,,
i want to know the $addr$ and the,request,,,addr,,
great thank you goodbye,bye,,,,,
im looking for an $pricerange$ restaurant in the $area$ part,inform,inform,,pricerange,area,
may i have the $phone$,request,,,phone,,
may i have the $addr$ please,request,,,addr,,
umh i dont care,dontcare,,,,,
i dont want $food$ food,negate,,,food,,
i want to find a restaurant that serve $food$ food,inform,,,food,,
im looking for a restaurant in the $area$,inform,,,area,,
um i dont care about the $pricerange$,dontcare,,,pricerange,,
may i have the $addr$ and $postcode$,request,request,,addr,postcode,
what is their $postcode$,request,,,postcode,,
great thank you good bye,bye,,,,,
im looking for a $pricerange$ priced restaurant serve $food$ food,inform,inform,,food,pricerange,
i want to find a restaurant in the $area$ and it should serve $food$ food,inform,inform,,food,area,
serves $food$ food,inform,,,food,,
and what is the $addr$,request,,,addr,,
i need to find an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
can i get the $addr$,request,,,addr,,
and what is their $phone$,request,,,phone,,
can i get their $postcode$,request,,,postcode,,
are there any restaurants that serve $food$ food,inform,,,food,,
is it $pricerange$ priced,confirm,,,pricerange,,
uh yes,affirm,,,,,
i need a $pricerange$ priced restaurant,inform,,,pricerange,,
um kay whats the $postcode$,request,,,postcode,,
i need a $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
i need a restaurant in the $area$ of town,inform,,,area,,
yeah,affirm,,,,,
uh how about $food$,inform,,,food,,
$pricerange$ price range,inform,,,pricerange,,
can i get the $addr$ and $phone$,request,request,,addr,phone,
im looking for an $pricerange$ restaurant serving $food$ food,inform,inform,,food,pricerange,
what kind of $food$ do they serve,request,,,food,,
im looking for a restaurant in the $area$ part of town thats $pricerange$,inform,inform,,pricerange,area,
is there anything that serves $food$ food,inform,,,food,,
i need an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
no is there anything else,negate,,,,,
alright good bye thank you,bye,,,,,
i need to find a $food$ restaurant,inform,,,food,,
and what $area$ is it in,request,,,area,,
ok thank you goodbye,bye,,,,,
im looking for a $pricerange$ priced restaurant that serves $food$ food,inform,inform,,food,pricerange,
how about uh $food$,inform,,,food,,
and at the $food$,inform,,,food,,
okay whats the $addr$ $phone$ and $area$,request,request,request,addr,phone,area
whats the $area$,request,,,area,,
can you tell me a restaurant in the $area$ part of town,inform,,,area,,
um i need a $pricerange$ restaurant,inform,,,pricerange,,
and whats the $postcode$,request,,,postcode,,
how about the $phone$,request,,,phone,,
can you tell me about an $pricerange$ restaurant in the $area$,inform,inform,,pricerange,area,
okay i need the $phone$ and $addr$,request,request,,phone,addr,
i need a restaurant in the $area$ part of town that serves,inform,,,area,,
and whats the $phone$,request,,,phone,,
i need a restaurant serving $food$ food in the $area$ part of town,inform,inform,,food,area,
what about $food$,inform,,,food,,
i need to find a restaurant in the $area$ part of town,inform,,,area,,
uh whats the $pricerange$,request,,,pricerange,,
i need a $pricerange$ restaurant,inform,,,pricerange,,
and its in the $area$ part of town,inform,,,area,,
no i need a restaurant in the $area$ part of town,negate,,,area,,
and what kind of $food$ do they serve,request,,,food,,
im looking for something $pricerange$,inform,,,pricerange,,
the $area$ side,inform,,,area,,
could i have its $phone$,request,,,phone,,
could have its $phone$,request,,,phone,,
im looking for a $pricerange$ $food$ restaurant,inform,inform,,food,pricerange,
im looking for a $food$ restaurant,inform,,,food,,
how much,request,,,pricerange,,
may i have its $phone$,request,,,phone,,
are there any restaurant serving $food$ food,inform,,,food,,
what about in the $area$ side of town,inform,,,area,,
im looking for something in the $area$ side,inform,,,area,,
can i have the $addr$ of it,request,,,addr,,
goodbye,bye,,,,,
id like to find a restaurant that serves $food$ food,inform,,,food,,
id like an $pricerange$ restaurant,inform,,,pricerange,,
may i know more about the $area$,request,,,area,,
$area$ side,inform,,,area,,
can i have the $phone$,request,,,phone,,
looking for a restaurant that serves $food$ food,inform,,,food,,
whats its $pricerange$,request,,,pricerange,,
ok thanks goodbye,bye,,,,,
are there any $food$ restaurants,inform,,,food,,
how about $food$ restaurants,inform,,,food,,
is it in the $area$ of town,confirm,,,area,,
are there any $food$ rest $food$ food,inform,,,food,,
are there any restaurants in the $area$ of town,inform,,,area,,
what type of $food$ does it serve,request,,,food,,
where is it,request,,,addr,,
what $area$ is it,request,,,area,,
is there anything serving $food$ food,inform,,,food,,
the $area$ part,inform,,,area,,
how about in the $area$,inform,,,area,,
where is it located,request,,,addr,,
what $area$ is it located,request,,,area,,
thank you very much good bye,bye,,,,,
looking for something on the $area$ side,inform,,,area,,
can you give me its $postcode$,request,,,postcode,,
looking for something $pricerange$,inform,,,pricerange,,
good i have the $addr$ of that,request,,,addr,,
could you get me the $phone$,request,,,phone,,
im looking for $food$,inform,,,food,,
any fine,dontcare,,,,,
is it $food$ food,confirm,,,food,,
what is there in the $area$,inform,,,area,,
i would like it to be $pricerange$,inform,,,pricerange,,
im looking for something serving $food$ food,inform,,,food,,
something $pricerange$ priced,inform,,,pricerange,,
could i have its $addr$,request,,,addr,,
im looking for a restaurant that serves $food$ food,inform,,,food,,
how about a restaurant that serves $food$ food,inform,,,food,,
restaurant in $area$ area,inform,,,area,,
my i have the $phone$,request,,,phone,,
something serving $food$ food,inform,,,food,,
im looking for a restaurant serving $food$ food then,inform,,,food,,
can i have its $phone$,request,,,phone,,
thank you very much goodbye,bye,,,,,
im looking for something $pricerange$ priced,inform,,,pricerange,,
can i have the $addr$ of that,request,,,addr,,
can i have the $postcode$,request,,,postcode,,
im looking for a $pricerange$ priced restaurant in the $area$ of town,inform,inform,,pricerange,area,
you goodbye,bye,,,,,
im looking for a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
$pricerange$ restaurant in the $area$ of town,inform,inform,,pricerange,area,
im looking for a $pricerange$ restaurant in the $area$ of town,inform,inform,,pricerange,area,
im looking for a $pricerange$ priced restaurant that serves $food$,inform,inform,,food,pricerange,
im looking for a restaurant in the $area$ part of the town with $food$ asian food,inform,inform,,food,area,
im looking for an $pricerange$ restaurant that serves food,inform,,,pricerange,,
is there a $food$ restaurant,confirm,,,food,,
im looking for a restaurant in the $area$ part of town it should serve $food$ food,inform,inform,,food,area,
do you have $food$ restaurant,inform,,,food,,
$food$ restaurant,inform,,,food,,
im looking for an $food$ restaurant in the $area$ part of town,inform,inform,,food,area,
$pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
yes i want the $phone$,request,,,phone,,
i would like to find a $pricerange$ priced,inform,,,pricerange,,
find a restaurant in the $area$ part of town,inform,,,area,,
signapore,inform,,,food,,
how about india,inform,,,food,,
restaurant $pricerange$ price,inform,,,pricerange,,
restaurant in the $area$,inform,,,area,,
can i have the $addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
any kind,dontcare,,,,,
do you have any other restaurant,reqalts,,,,,
can i have something else,reqalts,,,,,
thank you have a good day,bye,,,,,
can i get a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
can i get the $phone$,request,,,phone,,
and the $postcode$,request,,,postcode,,
i would like to find a $pricerange$ restaurant,inform,,,pricerange,,
the $area$ part of town,inform,,,area,,
and the $phone$,request,,,phone,,
i would like $food$ food,inform,,,food,,
okay can i have the $addr$,request,,,addr,,
can i get a restaurant with $food$ food,inform,,,food,,
vegitarian,inform,,,food,,
can i have the $addr$,request,,,addr,,
can i get a $pricerange$ priced restaurant in the $area$,inform,inform,,pricerange,area,
okay can i have the $phone$,request,,,phone,,
and the $addr$,request,,,addr,,
i would like a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
okay can i get the $addr$,request,,,addr,,
and $phone$,request,,,phone,,
see you good bye,bye,,,,,
i want an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
im looking for a restaurant in the $area$ part of town serving $food$ food,inform,inform,,food,area,
im looking for an $pricerange$ restaurant in the $area$ part of,inform,inform,,pricerange,area,
$pricerange$ priced restaurant,inform,,,pricerange,,
i want a restaurant that serves $food$ food,inform,,,food,,
im looking for a $pricerange$ priced restaurant that serves tur,inform,,,pricerange,,
